id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
197;Macarrão ;Ensopado;186.68;5.8;4.17;30.86;1.8
198;Macarrão ;Sopa;158;5.8;0.93;30.86;1.8
199;Macarrão ;Não se aplica;158;5.8;0.93;30.86;1.8
200;Purê de batata;Não se aplica;115.16;1.81;4.36;17.76;1.78
201;Bife vegetal;Não se aplica;142.37;18.51;5.32;5.8;0.44
202;Carne vegetal;Frito(a);142.37;18.51;5.32;5.8;0.44
203;Pasta de soja;Não se aplica;62;6.9;2.7;2.4;0.1
204;Carne de soja;Não se aplica;142.37;18.51;5.32;5.8;0.44
205;Amendoim moído;Não se aplica;567;25.8;49.24;16.13;8.5
206;Granola ;Não se aplica;388;9.5;6.3;73.8;8.5
207;Musli;Não se aplica;388;9.5;6.3;73.8;8.5
208;Mix de cereais;Não se aplica;388;9.5;6.3;73.8;8.5
209;Miojo;Não se aplica;189.86;5.65;7.18;25.54;1.16
210;Macarrão instantâneo;Não se aplica;189.86;5.65;7.18;25.54;1.16
211;Sustagem;Não se aplica;369.15;24.05;0.49;68.02;0
212;Proteína de soja;Não se aplica;142.37;18.51;5.32;5.8;0.44
213;Proteína vegetal;Não se aplica;142.37;18.51;5.32;5.8;0.44
214;Complemento alimentar de qualquer sabor;Não se aplica;369.15;24.05;0.49;68.02;0
215;Sucrilhos de milho light;Não se aplica;365;7.2;1;83.8;4.1
216;Mini pizza semipronta light;Assado(a);255.57;14.6;8.45;29.82;1.74
217;Macarrão instantâneo light;Sopa;189.86;5.65;7.18;25.54;1.16
218;Macarrão instantâneo light;Não se aplica;189.86;5.65;7.18;25.54;1.16
219;Proteína de soja orgânica;Não se aplica;142.37;18.51;5.32;5.8;0.44
220;Macarrão com carne;Não se aplica;120.59;6.22;2.79;17.42;1.25
221;Macarrão com peixe;Não se aplica;163.17;14.98;4.13;15.43;0.9
222;Cocodabaía (seco ou verde);Não se aplica;354;3.33;33.49;15.23;9
223;Castanha portuguesa;Não se aplica;131;2;1.38;27.76;4.14
224;Pinhão;Não se aplica;174.37;2.98;0.75;43.92;15.6
225;Amêndoa;Não se aplica;578;21.26;50.64;19.74;11.8
226;Avelã;Não se aplica;628;14.95;60.75;16.7;9.7
227;Castanhadopará;Não se aplica;656;14.32;66.43;12.27;7.5
228;Castanha de caju;Não se aplica;574;15.31;46.35;32.69;3
229;Butiá;Não se aplica;105;1.9;2;22.8;7.4
230;Tucumã;Não se aplica;474;5.5;47.2;6.8;19.2
231;Coco de mucajá;Não se aplica;404.28;2.08;40.66;13.95;13.44
232;Noz (nogueira);Não se aplica;654;15.23;65.21;13.71;6.7
233;Açaí ;Não se aplica;262;3.6;2;57.4;5.92
